,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_max_iter,param_random_state,param_solver,params,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_train_mcc,split1_train_mcc,split2_train_mcc,split3_train_mcc,split4_train_mcc,mean_train_mcc,std_train_mcc,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc,split0_train_auprc,split1_train_auprc,split2_train_auprc,split3_train_auprc,split4_train_auprc,mean_train_auprc,std_train_auprc
0,0.456097936630249,0.09227686692824763,0.00570530891418457,0.0002103074271795529,tanh,0.0001,True,"(10, 3)",constant,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (10, 3), 'learning_rate': 'constant', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.7984442195668694,0.7903952964970912,0.7947457177775094,0.7961419919973616,0.7386065935715844,0.7836667638820831,0.02268232718229508,21,0.8432948607105282,0.7536518967240786,0.8331704432037846,0.7859307677647397,0.7989294982218116,0.8029954933249887,0.032487210751314284,0.9060392931239627,0.9017858081244514,0.8859957489724962,0.9122733604472169,0.880706284221716,0.8973600989779686,0.012031780226597724,21,0.9247562302255086,0.8821113015630193,0.9256288767638112,0.8978294219971167,0.9033736082330456,0.9067398877565003,0.01660528829889927
1,0.4767406463623047,0.11498651547653457,0.005763912200927734,0.0002458147858693057,tanh,0.0001,True,"(10, 3)",adaptive,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (10, 3), 'learning_rate': 'adaptive', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.7984442195668694,0.7903952964970912,0.7947457177775094,0.7961419919973616,0.7386065935715844,0.7836667638820831,0.02268232718229508,21,0.8432948607105282,0.7536518967240786,0.8331704432037846,0.7859307677647397,0.7989294982218116,0.8029954933249887,0.032487210751314284,0.9060392931239627,0.9017858081244514,0.8859957489724962,0.9122733604472169,0.880706284221716,0.8973600989779686,0.012031780226597724,21,0.9247562302255086,0.8821113015630193,0.9256288767638112,0.8978294219971167,0.9033736082330456,0.9067398877565003,0.01660528829889927
2,0.5250849246978759,0.10630268223649433,0.006170940399169922,0.00026604921460803845,tanh,0.0001,True,"(30, 5)",constant,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (30, 5), 'learning_rate': 'constant', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.7793252697074519,0.7923679006321199,0.8036965033208655,0.8228865357109274,0.7710643491192263,0.7938681116981182,0.01828891843844121,19,0.7928730433034737,0.7727554126036836,0.8346755100037726,0.8203838759899286,0.8403742124121283,0.8122124108625973,0.025672228501084294,0.889795662518831,0.9035551925948171,0.8876234420111085,0.9243835499548279,0.9074317324851132,0.9025579159129397,0.013319313589744414,17,0.9049235338662345,0.8934502720554097,0.9301775580377656,0.9127740353172189,0.9294668801516012,0.9141584558856459,0.01419146764664094
3,0.5445070266723633,0.1274626340744285,0.006419992446899414,0.00014350402986985022,tanh,0.0001,True,"(30, 5)",adaptive,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (30, 5), 'learning_rate': 'adaptive', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.7793252697074519,0.7923679006321199,0.8036965033208655,0.8228865357109274,0.7710643491192263,0.7938681116981182,0.01828891843844121,19,0.7928730433034737,0.7727554126036836,0.8346755100037726,0.8203838759899286,0.8403742124121283,0.8122124108625973,0.025672228501084294,0.889795662518831,0.9035551925948171,0.8876234420111085,0.9243835499548279,0.9074317324851132,0.9025579159129397,0.013319313589744414,17,0.9049235338662345,0.8934502720554097,0.9301775580377656,0.9127740353172189,0.9294668801516012,0.9141584558856459,0.01419146764664094
4,0.4418389320373535,0.06993289129338771,0.0070571422576904295,0.0002574173236030181,tanh,0.0001,True,"(50, 10)",constant,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'constant', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.8073832942675009,0.8128369097719835,0.7891730593773831,0.8120942752097272,0.7512025495967776,0.7945380176446745,0.02330158077227537,17,0.8093513821449454,0.8308591676148396,0.812678965975307,0.8083384568700309,0.8382957035206691,0.8199047352251583,0.012293015100475592,0.8940916117550424,0.9157655046530009,0.8815382351773206,0.91987220451283,0.9041332756814416,0.9030801663559271,0.014063060158745557,15,0.9098331534786255,0.931878303258628,0.9195387380569994,0.908501983522335,0.9243431754378355,0.9188190707508846,0.008817779827377983
5,0.44264826774597166,0.05838244752072637,0.00699162483215332,0.0003333270459711181,tanh,0.0001,True,"(50, 10)",adaptive,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'adaptive', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.8073832942675009,0.8128369097719835,0.7891730593773831,0.8120942752097272,0.7512025495967776,0.7945380176446745,0.02330158077227537,17,0.8093513821449454,0.8308591676148396,0.812678965975307,0.8083384568700309,0.8382957035206691,0.8199047352251583,0.012293015100475592,0.8940916117550424,0.9157655046530009,0.8815382351773206,0.91987220451283,0.9041332756814416,0.9030801663559271,0.014063060158745557,15,0.9098331534786255,0.931878303258628,0.9195387380569994,0.908501983522335,0.9243431754378355,0.9188190707508846,0.008817779827377983
6,0.6707624912261962,0.3735269976596885,0.008729982376098632,0.0002926200260255156,tanh,0.0001,True,"(100,)",constant,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.8067184055406387,0.8281545842386379,0.7354037757927901,0.7542789921149587,0.7276192232946472,0.7704349961963345,0.03992350164358717,29,0.8609995954035723,0.7872112433735702,0.7649522962816065,0.7535881505544613,0.799114004169454,0.7931730579565328,0.03750907501025495,0.9190235472590904,0.9048680534352637,0.8535075379839451,0.9036017745385961,0.8748741288948453,0.8911750084223481,0.023672862588936444,25,0.9457249693235045,0.9010711240191678,0.890976846297738,0.8812728676276309,0.9029184786148121,0.9043928571765706,0.022072944807991147
7,0.6561864376068115,0.3807322495816351,0.008512258529663086,0.000447638510957773,tanh,0.0001,True,"(100,)",adaptive,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.8067184055406387,0.8281545842386379,0.7354037757927901,0.7542789921149587,0.7276192232946472,0.7704349961963345,0.03992350164358717,29,0.8609995954035723,0.7872112433735702,0.7649522962816065,0.7535881505544613,0.799114004169454,0.7931730579565328,0.03750907501025495,0.9190235472590904,0.9048680534352637,0.8535075379839451,0.9036017745385961,0.8748741288948453,0.8911750084223481,0.023672862588936444,25,0.9457249693235045,0.9010711240191678,0.890976846297738,0.8812728676276309,0.9029184786148121,0.9043928571765706,0.022072944807991147
8,0.36888537406921384,0.06719338708656926,0.005275869369506836,0.0002234803347025372,tanh,0.05,True,"(10, 3)",constant,400,500,adam,"{'activation': 'tanh', 'alpha': 0.05, 'early_stopping': True, 'hidden_layer_sizes': (10, 3), 'learning_rate': 'constant', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.7682806732427533,0.8119325401539007,0.8052027851243396,0.7961419919973616,0.6949408668297187,0.7752997714696147,0.04284243087986613,25,0.7710382608699016,0.7618365466764896,0.8379253035789584,0.7859307677647397,0.7792221347268964,0.7871906027233972,0.026618864899238356,0.8744948694120795,0.9043065113162623,0.888734715279552,0.9128529282041153,0.8675323675978888,0.8895842783619795,0.01716317567859668,27,0.889276508428566,0.8871008381499679,0.9288283042103443,0.8979602932798033,0.8955769843999983,0.899748585693736,0.015072227415318553
9,0.3884089469909668,0.08112731500103344,0.005633306503295898,4.9117097492978945e-05,tanh,0.05,True,"(10, 3)",adaptive,400,500,adam,"{'activation': 'tanh', 'alpha': 0.05, 'early_stopping': True, 'hidden_layer_sizes': (10, 3), 'learning_rate': 'adaptive', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.7682806732427533,0.8119325401539007,0.8052027851243396,0.7961419919973616,0.6949408668297187,0.7752997714696147,0.04284243087986613,25,0.7710382608699016,0.7618365466764896,0.8379253035789584,0.7859307677647397,0.7792221347268964,0.7871906027233972,0.026618864899238356,0.8744948694120795,0.9043065113162623,0.888734715279552,0.9128529282041153,0.8675323675978888,0.8895842783619795,0.01716317567859668,27,0.889276508428566,0.8871008381499679,0.9288283042103443,0.8979602932798033,0.8955769843999983,0.899748585693736,0.015072227415318553
