classifier_class,best_index,mean_mcc_on_train_folds,mean_auprc_on_train_folds,mean_mcc_on_held_out_folds,mean_auprc_on_held_out_folds,model_id,training_mode,number_of_parameters (millions),test_mcc,test_auprc,test_elapsed_time
MLPClassifier,28,0.8155392991498136,0.9163947396711528,0.7604604368552071,0.8672623861419322,esm_6,only_head,8,0.7581951824747133,0.8993141216334303,8.280742711969651
LogisticRegression,9,0.8811714900120347,0.9668704416716344,0.7962769587386125,0.8983244013626838,esm_12,only_head,35,0.7999455820557405,0.9284076051635498,17.262459384975955
MLPClassifier,18,0.8351796772090806,0.9330737186781046,0.8037680113512369,0.9032227323170255,esm_30,only_head,150,0.7756576948136732,0.9162836346860794,126.60531402996276
LogisticRegression,7,0.8738697512303958,0.9614072818757672,0.8250653578147675,0.9268904964929202,esm_33,only_head,650,0.837779669770768,0.9554569493146148,224.91752447502225
LogisticRegression,7,0.9144087445111442,0.975484300526093,0.8585581925328298,0.9364709731445,esm_36,only_head,3000,0.875751577455712,0.969435857826249,869.7569817840122
LogisticRegression,9,0.8765865531663607,0.9647729578584474,0.7587289323612529,0.866660974727979,protein_bert,only_head,16,0.7328168161831898,0.883364369419355,34.59012758266181
MLPClassifier,4,0.9007261455840128,0.96562006515096,0.871088605051402,0.9475410353040304,pt5,only_head,3000,0.903059668591256,0.967418416833927,29.92326731502544
