sample,esm_6,mixed_0.4,mixed_0.3,mixed_0.2,mixed_0.1,pt5
1,72.56473695486784,157.19234948977828,333.0144888823852,551.8794839940965,1000.3323910934852,5785.559612195939
2,49.98390590306372,347.7570122713223,639.3547714799643,1103.325829516165,1695.2679860210046,5344.673303433694
3,51.95624061953277,280.81615646276623,525.2502443520352,827.4387401239946,1351.9311579437926,4899.2908456306905
4,84.20332244131714,280.15636603627354,536.3094270471483,854.5569180324674,1530.7637541405857,7065.766581984237
