train_mcc,train_auprc,validation_mcc,validation_auprc,model_id,training_mode,number_of_parameters (millions),test_mcc,test_auprc,test_elapsed_time,xantomonas_mcc,xantomonas_auprc,xantomonas_elapsed_time
0.8176605775146715,0.9279356966261094,0.7833436953858702,0.8899881937822949,esm_6,only_head,8,0.7907189381849765,0.8980373924338216,4.877211306011304,0.430528037239458,0.684557204755572,9.708573715062812
0.959643428854658,0.9952985712437028,0.8259389172027748,0.9190937750774232,esm_6,finetune,8,0.7351796903528861,0.8627762698442194,2.8269050121307373,0.4993547542866208,0.6879412397899529,22.01514577865601
1.0,1.0,0.7697463722637291,0.8976518733660825,protein_bert,only_head,16,0.7995452563523093,0.9052965196422252,25.55926046287641,0.4760584930446277,0.7529406851121349,17.301554244942963
0.922138030297745,0.9899233029989348,0.7573679454364781,0.919443804122986,protein_bert,finetune,16,0.7876712328767124,0.8980976240450615,5.22093557426706,0.5197549711939564,0.7087099870172606,29.955832479987293
0.8594362552045987,0.9648285180375964,0.7637273028896115,0.8921633463974399,esm_12,only_head,35,0.7931844752722059,0.904227187541954,8.75517136300914,0.4104436524518342,0.6523523215146471,23.4686924519483
0.990096783527798,0.9997920986596426,0.8330869017442447,0.9345954394881592,esm_12,finetune,35,0.8259169439729332,0.8920879285074785,4.108128070831299,0.4927200078897123,0.6854760377255498,34.20492744445801
0.8756078777185777,0.9581900992431504,0.8086280633908365,0.910976780996833,esm_30,only_head,150,0.8184686482006923,0.9089415260915106,27.55297889304348,0.5178316484803328,0.7917357024809475,87.99779360392131
0.9983342927107368,0.9999928316439908,0.8313718018588612,0.9210172486836112,esm_30,finetune,150,0.8052801154427122,0.89047341774566,15.197951078414915,0.5857005545566567,0.7587449727260637,128.35493636131287
0.9107940510612051,0.9723367044416796,0.8510627523162146,0.9279869870887976,esm_33,only_head,650,0.8370406918003362,0.9436531141124944,75.95654984097928,0.5854766915487183,0.843125229858495,314.9727022619918
0.9983342927107368,0.9999928316439908,0.8982609391042907,0.9585305502764035,esm_33,finetune,650,0.8497456327195786,0.9135096278118354,55.03951478004456,0.6670380046005985,0.6928985101278348,465.1635646820069
0.9054621014373128,0.9695056990728323,0.8479647807732646,0.932841233987269,esm_36,only_head,3000,0.8382506891920702,0.9468260278173392,328.5788381139282,0.664662024909988,0.863032685657874,1644.7660770569928
0.9188187706578356,0.979226070631628,0.8513854118750419,0.934822934149634,pt5,only_head,3000,0.8938356164383562,0.9580513732143396,158.81588695407845,0.7085212957902657,0.8784462197388261,809.3955190959387
0.996674707590771,0.9999928316439908,0.8885000113478533,0.9645224646934308,esm_36,finetune,3000,0.8702676347292951,0.953209202856278,154.8030302524567,0.7026711832580037,0.8580665986196712,1279.489254951477
0.970191295927196,0.9976539822935416,0.8929919837278596,0.9677379183635404,pt5,finetune,3000,0.864869942893081,0.962429372326038,75.29310297966003,0.602225071060969,0.8471800051263656,638.7023777961731
