classifier_class,best_index,mean_mcc_on_train_folds,mean_auprc_on_train_folds,mean_mcc_on_held_out_folds,mean_auprc_on_held_out_folds,model_id,training_mode,number_of_parameters (millions),test_mcc,test_auprc,test_elapsed_time,xantomonas_mcc,xantomonas_auprc,xantomonas_elapsed_time
LogisticRegression,9,0.8467250341227233,0.9500542100835198,0.7659380108560191,0.894716633948962,esm_6,only_head,8,0.7907189381849765,0.8976342657493798,20.101316885091364,0.4271851279091863,0.6985139797339988,10.790256592910737
LogisticRegression,9,0.8685798432409619,0.9647781807302404,0.7558804075023751,0.8937582894145416,esm_12,only_head,35,0.7931844752722059,0.904227187541954,10.31837046192959,0.4104436524518342,0.6523523215146471,23.26758181885816
LogisticRegression,9,0.9064113269693715,0.9797284451864788,0.8013763851837435,0.9123842811720682,esm_30,only_head,150,0.8301369863013699,0.913690908359046,29.36384308896959,0.4821877153682231,0.7783755523685465,85.75097489799373
LogisticRegression,7,0.8906810531455125,0.9597378476073828,0.8336613197913477,0.925309480867344,esm_33,only_head,650,0.8267074140458589,0.9395360435213936,78.45517558814026,0.6217459265714553,0.8610187059489518,293.32283467706293
MLPClassifier,2,0.8754105437303454,0.940735378261689,0.8491115705994974,0.9294365164529688,esm_36,only_head,3000,0.8513698630136987,0.9448004216870436,257.7073091890197,0.6341319164508543,0.8644349237659109,944.1943789091893
GradientBoostingClassifier,10,1.0,1.0,0.7428588724835752,0.8844349899034555,protein_bert,only_head,16,0.801733033442009,0.9041550848938634,26.330641445005316,0.5254689382813239,0.7225143026463027,15.68809838895686
MLPClassifier,26,0.8854971244745304,0.9489104568247166,0.8614689618870857,0.9309828262080804,pt5,only_head,3000,0.8953019366280525,0.952815137419235,128.59332043700852,0.7485178336603902,0.9177459460848324,554.258154792944
