test_mcc,test_auprc,test_elapsed_time,lower,upper
0.8574247656711644,0.9428976756671068,867.6715593240224,0.0,0.5
0.8089801661967094,0.9108695026176502,112.09564304118976,0.4,0.8
0.8565868104608088,0.9449753472190612,904.9914885698818,0.0,0.6
0.7943243845865533,0.9028851379488296,95.6568402010016,0.4,0.7
0.812315175263594,0.9098196933771427,132.34413756383583,0.2,0.7
0.8262744011676068,0.9170266002099614,154.84079289762303,0.2,0.8
0.8630508577139897,0.9327621879093032,237.80949741974476,0.1,0.8
0.8740099987013352,0.9360668658036962,257.9747732039541,0.1,0.9
0.8116920409007411,0.9033715583262824,100.3341488656588,0.3,0.7
0.8046033223338763,0.8961617466369709,75.5162769057788,0.3,0.6
0.8434782608695652,0.9171140586310556,194.5893988138996,0.1,0.5
0.8761507034436227,0.9598163654020992,1095.9355654139072,0.0,0.8
0.8258869429144958,0.910657005187966,118.244340125937,0.3,0.8
0.8867354001403003,0.9641127821337918,1093.228821311146,0.0,0.9
0.805313238289739,0.8938374955261561,65.73034162865952,0.3,0.5
0.8411250734628039,0.920657047892284,248.6162757021375,0.3,1.0
0.8412470915427033,0.926972437860666,265.8433564007282,0.2,1.0
0.8373495827017935,0.9138563682362948,141.93807111680508,0.3,0.9
0.7877174515363918,0.8929246099807322,52.48032306693494,0.4,0.5
0.837584377250818,0.9201627073330728,169.91839274810627,0.2,0.9
0.8775019431388883,0.9431642943069692,361.7077504508197,0.1,1.0
0.8427202719099279,0.9192915638336426,200.77944477042183,0.1,0.6
0.8899775292592046,0.9712191303217896,1161.8634978239425,0.0,1.0
0.8060653622147653,0.8996530265067224,101.1278690667823,0.2,0.5
0.8631850892285667,0.952489077105861,1089.3604417359456,0.0,0.7
0.805313238289739,0.9022174508110278,119.71281165396796,0.2,0.6
0.8495316813017454,0.9263574066090626,223.7275598119013,0.1,0.7
0.7870525150362331,0.8953372223896099,68.51734880311415,0.4,0.6
0.8207762918480106,0.9143345915778812,110.24916162900628,0.4,0.9
0.8247549719299365,0.9213799216912444,203.2766794268973,0.4,1.0
0.7656905058937161,0.8864545699170637,19.934760708361864,0.5,0.5
0.765071851413913,0.8888938162163156,38.12907460099086,0.5,0.6
0.772564096672095,0.8970974401650514,72.87996443780139,0.5,0.7
0.7877710225410697,0.905994798910914,89.07775690685958,0.5,0.8
0.7999741394946718,0.9103307648331328,100.90675971005112,0.5,0.9
0.8041958041958042,0.9172638415129276,176.5945982891135,0.5,1.0
